row_id,algorithm,fid,instance,dim,run,seed,best_error,evaluations,generations,wall_time
195,fixed:rand/1,8,1,5,20,15220929666112269455,0.7849857438721699,2500,50,1.1925189170287922
196,fixed:rand/1,8,1,5,21,4736770203343835862,2.50199110662993,2500,50,0.9681182500207797
197,fixed:rand/1,8,1,5,22,8375547185594741180,3.3029582479927058,2500,50,0.9057205829885788
198,fixed:rand/1,8,1,5,23,11090423669472873117,1.1263543615659444,2500,50,1.2453632090473548
199,fixed:rand/1,8,1,5,24,6118744350974981913,1.196507977109576,2500,50,1.3098254579817876
200,fixed:rand/1,9,1,5,0,5242779627420839748,1.9270043908299357,2500,50,1.4074207919766195
201,fixed:rand/1,9,1,5,1,9535323322316413162,2.3361092536675017,2500,50,1.3420304579776712
202,fixed:rand/1,9,1,5,2,6224687575907638374,2.934226947668691,2500,50,0.9372507910011336
203,fixed:rand/1,9,1,5,3,5748723942844176362,1.991603800783409,2500,50,1.0658802920370363
204,fixed:rand/1,9,1,5,4,881517478919029727,1.1112565914030768,2500,50,0.9733367500011809
205,fixed:rand/1,9,1,5,5,2511001238773940407,2.740684906102942,2500,50,0.9647813750198111
206,fixed:rand/1,9,1,5,6,10578544073917675082,2.09452240084552,2500,50,1.2621686249622144
207,fixed:rand/1,9,1,5,7,11011911715946176091,1.8385393532964542,2500,50,1.0209634590428323
208,fixed:rand/1,9,1,5,8,166992604580221167,2.5668017927220887,2500,50,0.9268212089664303
209,fixed:rand/1,9,1,5,9,13146424843525514388,4.016565434934776,2500,50,1.5177413339843042
210,fixed:rand/1,9,1,5,10,14462787143073454094,1.7018204322364738,2500,50,0.9963292080210522
211,fixed:rand/1,9,1,5,11,4323567181505389854,1.6622764549692448,2500,50,1.0091907090391032
212,fixed:rand/1,9,1,5,12,8752109211741723654,0.6193141834641409,2500,50,0.962589124974329
213,fixed:rand/1,9,1,5,13,8081302513222746382,1.1216792205651274,2500,50,1.3310663329903036
214,fixed:rand/1,9,1,5,14,7097879221235045407,1.1216372369788843,2500,50,1.0788297079852782
215,fixed:rand/1,9,1,5,15,656290976408289387,1.8779853072822448,2500,50,0.9084507080260664
216,fixed:rand/1,9,1,5,16,7098902910204430258,3.168716762672446,2500,50,1.343011541001033
217,fixed:rand/1,9,1,5,17,14780647247205181254,3.4585540499127347,2500,50,0.9680877499631606
218,fixed:rand/1,9,1,5,18,5980241357982659433,2.2993950989525587,2500,50,1.02057416603202
219,fixed:rand/1,9,1,5,19,3528059162855184030,1.6862029255977973,2500,50,1.229385500017088
220,fixed:rand/1,9,1,5,20,2207654724175992018,3.0108120554396436,2500,50,0.9096453330130316
221,fixed:rand/1,9,1,5,21,2877935893925587116,2.207030028660583,2500,50,1.356015917030163
222,fixed:rand/1,9,1,5,22,16586431323869771499,1.7962785097671201,2500,50,1.0682792090228759
223,fixed:rand/1,9,1,5,23,10200314100242946132,3.4642561552683873,2500,50,1.7014157089870423
224,fixed:rand/1,9,1,5,24,13326311628154053501,1.0148317353795733,2500,50,1.2464385839994065
225,fixed:rand/1,10,1,5,0,4324719483935790561,13.808717270794553,2500,50,1.1753996670013294
226,fixed:rand/1,10,1,5,1,11779934815203323984,4.7822396650778884,2500,50,1.12348083301913
227,fixed:rand/1,10,1,5,2,2366485180457595534,11.65702851181932,2500,50,1.2320114999893121
228,fixed:rand/1,10,1,5,3,17265278399456488063,11.346120051266588,2500,50,1.4284911249997094
229,fixed:rand/1,10,1,5,4,175308603691683448,17.7323899443048,2500,50,1.1860310830525123
230,fixed:rand/1,10,1,5,5,3218349615946339648,4.720306763069189,2500,50,1.243317999993451
231,fixed:rand/1,10,1,5,6,2666076519070022043,13.246038220095073,2500,50,2.360482917050831
232,fixed:rand/1,10,1,5,7,5720397213782204638,5.930859001630083,2500,50,1.264269958017394
233,fixed:rand/1,10,1,5,8,14308831764753915238,7.187281925449938,2500,50,1.0403381659998558
234,fixed:rand/1,10,1,5,9,10108563801393779606,10.591270101560184,2500,50,1.0632112079765648
235,fixed:rand/1,10,1,5,10,7887696956061645296,2.7136611980562435,2500,50,1.1077995419618674
236,fixed:rand/1,10,1,5,11,9369739248841440163,51.07535421766468,2500,50,1.4508911660523154
237,fixed:rand/1,10,1,5,12,131750938780094182,3.3482961087468297,2500,50,1.1108330420101993
238,fixed:rand/1,10,1,5,13,12993204080534689295,7.597431956227588,2500,50,1.3098278749966994
239,fixed:rand/1,10,1,5,14,14676931614199124225,28.6767632051355,2500,50,2.286171541956719
240,fixed:rand/1,10,1,5,15,15331152976108718598,2.4306598858100728,2500,50,1.1734411669895053
241,fixed:rand/1,10,1,5,16,5635743834283433666,9.586980392383893,2500,50,0.9861223750049248
242,fixed:rand/1,10,1,5,17,12903168672904076743,5.4090202043920925,2500,50,1.215855874994304
243,fixed:rand/1,10,1,5,18,2839553404665107343,5.191333611542532,2500,50,1.0179384169750847
244,fixed:rand/1,10,1,5,19,264477420243982667,20.922043334747983,2500,50,1.4041345830191858
245,fixed:rand/1,10,1,5,20,16108353161824137001,5.229293205649576,2500,50,1.0842132499674335
246,fixed:rand/1,10,1,5,21,18349670535539434955,10.181013727928097,2500,50,1.7995583330048248
247,fixed:rand/1,10,1,5,22,4437040782558875050,4.5774415199124405,2500,50,2.394015458005015
248,fixed:rand/1,10,1,5,23,3517511537420845200,13.411947317648455,2500,50,1.2533210419933312
249,fixed:rand/1,10,1,5,24,5090617108144460721,3.373654566791039,2500,50,1.0498190409853123
250,fixed:rand/1,11,1,5,0,10037302801003262901,0.3432292050572272,2500,50,1.2331631659762934
251,fixed:rand/1,11,1,5,1,6613337875989150073,0.11958190400706314,2500,50,1.2346564999897964
252,fixed:rand/1,11,1,5,2,6193544054680147292,0.13343462644158421,2500,50,1.186387499968987
253,fixed:rand/1,11,1,5,3,912250914019227782,0.3897315130421646,2500,50,1.1670287079759873
254,fixed:rand/1,11,1,5,4,12317686059398185898,0.5736686311005315,2500,50,1.8368466660031117
255,fixed:rand/1,11,1,5,5,5710011038690784471,0.15915081062351533,2500,50,1.7504156670183875
256,fixed:rand/1,11,1,5,6,10641699200192174044,0.11860417742619234,2500,50,1.0185913750319742
257,fixed:rand/1,11,1,5,7,12621776507190178682,0.19492618619582913,2500,50,1.5296456670039333
258,fixed:rand/1,11,1,5,8,17870332806233972906,0.21248422364860176,2500,50,2.0879034159588628
259,fixed:rand/1,11,1,5,9,2958572150667343173,0.09012200756252753,2500,50,1.4077247499953955
260,fixed:rand/1,11,1,5,10,14639244326600709541,0.14843137558180786,2500,50,1.1031617909902707
261,fixed:rand/1,11,1,5,11,4917111080303944444,0.19813194887326802,2500,50,1.193971332977526
262,fixed:rand/1,11,1,5,12,8140913454973353076,0.05860133833405712,2500,50,1.0710923749720678
263,fixed:rand/1,11,1,5,13,13972537312810437289,0.6606727586712537,2500,50,1.1687116660177708
264,fixed:rand/1,11,1,5,14,16614103901191273869,0.1608337360078309,2500,50,2.048927875002846
265,fixed:rand/1,11,1,5,15,10588105336096720197,0.2658650982429407,2500,50,1.9750253750244156
266,fixed:rand/1,11,1,5,16,15955290747735550490,0.21482873376596956,2500,50,0.9811892500147223
267,fixed:rand/1,11,1,5,17,14390296457500435180,0.06800931013823686,2500,50,1.3433844579849392
268,fixed:rand/1,11,1,5,18,7882437356211079942,0.0711493546024542,2500,50,1.146059916995
269,fixed:rand/1,11,1,5,19,12114430451455191716,0.2762975230025546,2500,50,1.0218012080295011
270,fixed:rand/1,11,1,5,20,17926213915996067018,0.09839474393105263,2500,50,0.8924354580231011
271,fixed:rand/1,11,1,5,21,12490036408273506040,1.0922668099008206,2500,50,1.2891929160105065
272,fixed:rand/1,11,1,5,22,5049109714050177116,0.05821221052326564,2500,50,1.872438083984889
273,fixed:rand/1,11,1,5,23,14621504331056435435,0.10402204333519194,2500,50,2.199144750018604
274,fixed:rand/1,11,1,5,24,17724123369220289702,0.05591729784707411,2500,50,1.0427189589827321
275,fixed:rand/1,12,1,5,0,13117643516721671997,240.69177327896273,2500,50,1.0686420000274666
276,fixed:rand/1,12,1,5,1,10052900661080699175,312.87445983191304,2500,50,1.0451371250092052
277,fixed:rand/1,12,1,5,2,775998711764444289,57.53834777263194,2500,50,0.8081078749964945
278,fixed:rand/1,12,1,5,3,4636847371646871266,224.24977628847978,2500,50,0.9042614169884473
